Product,Product_Link,Product_Image,Rating,Rating_Volumes,Price,Color_Type
Boult Audio ProBass Xcharge with Fast Charging Bluetooth Headset,https://www.flipkart.com/boult-audio-probass-xcharge-fast-charging-bluetooth-headset/p/itm3f7f429479561,https://rukminim1.flixcart.com/image/612/612/ku4ezrk0/headphone/d/k/m/probassxcharge-yellow-boult-audio-original-imag7b7zhqvnqkpa.jpeg?q=70,3.9,"44,336",999,"Yellow, In the Ear"
boAt Rockerz 235v2/238 with ASAP Charge and upto 8 Hours Playback Bluetooth Headset,https://www.flipkart.com/boat-rockerz-235v2-238-asap-charge-upto-8-hours-playback-bluetooth-headset/p/itm80b17259c3dfb,https://rukminim1.flixcart.com/image/612/612/kv9urgw0/headphone/f/s/v/-original-imag87kdm2hyzhyy.jpeg?q=70,4.2,"15,04,866",999,"Blue, In the Ear"
Grostar TWS Twins Wireless Bluetooth Earphone with Mic HEADPHONE Bluetooth Headset Bluetooth Headset,https://www.flipkart.com/grostar-tws-twins-wireless-bluetooth-earphone-mic-headphone-headset/p/itm379070b4a5c0a,https://rukminim1.flixcart.com/image/612/612/l0r1j0w0/headphone/c/t/u/tws-twins-wireless-bluetooth-earphone-with-mic-headphone-original-imagch3amg56htfh.jpeg?q=70,3.5,"11,434",351,"White, In the Ear"
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth headphone Bluetooth Headset,https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itm72fa844c6ee72,https://rukminim1.flixcart.com/image/612/612/kxf0jgw0/headphone/w/u/z/fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-original-imag9vezehqqgvx5.jpeg?q=70,4,"45,918",449,"Green, In the Ear"
Boult Audio AirBass Combuds Bluetooth Headset,https://www.flipkart.com/boult-audio-airbass-combuds-bluetooth-headset/p/itmc2ca4774325a5,https://rukminim1.flixcart.com/image/612/612/ku5ufm80/headphone/n/m/b/airbass-combuds-boult-audio-original-imag7cg3ju4q46bt.jpeg?q=70,3.7,"1,10,467","1,199","White, True Wireless"
Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,https://www.flipkart.com/aroma-nb119b-badshah-40-hours-playtime-bluetooth-neckband-headset/p/itmdb644cfa383b2,https://rukminim1.flixcart.com/image/612/612/kv2pk7k0/headphone/l/g/p/nb119b-40-hours-playtime-with-superior-sound-neckband-aroma-original-imag828sgv7wmsb6.jpeg?q=70,4,"1,07,892",429,"Black, In the Ear"
Mivi Duopods F30 with 42 hours battery Fast Charging TWS Bluetooth Headset,https://www.flipkart.com/mivi-duopods-f30-42-hours-battery-fast-charging-tws-bluetooth-headset/p/itmd982356973d64,https://rukminim1.flixcart.com/image/612/612/kt8zb0w0/headphone/j/c/p/teddf30-bk-mivi-original-imag6n4qkwuhmgrg.jpeg?q=70,3.9,"1,06,450",999,"Black, True Wireless"
Grostar Earbuds In-ear Sensor Bluetooth Touch Control Headset With Charging Case Bluetooth Headset,https://www.flipkart.com/grostar-earbuds-in-ear-sensor-bluetooth-touch-control-headset-charging-case/p/itm429733d07786c,https://rukminim1.flixcart.com/image/612/612/l58iaa80/headphone/n/1/z/earbuds-in-ear-sensor-bluetooth-touch-control-headset-with-original-imagfykagug4fjne.jpeg?q=70,3.5,"8,648",449,"Black, True Wireless"
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime Bluetooth Headset,https://www.flipkart.com/boult-audio-airbass-xpods-tws-earbuds-20h-playtime-bluetooth-headset/p/itm9a28196bebe85,https://rukminim1.flixcart.com/image/612/612/kw9krrk0/headphone/l/c/7/-original-imag8z6ghgpuxfrz.jpeg?q=70,3.9,"74,599","1,199","White, True Wireless"
Aroma NB119D Dream - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset,https://www.flipkart.com/aroma-nb119d-dream-48-hours-playtime-bluetooth-neckband-headset/p/itm25637fad72f0e,https://rukminim1.flixcart.com/image/612/612/kv2pk7k0/headphone/h/0/8/nb119d-48-hours-playtime-bluetooth-neckband-aroma-original-imag828wj6562fzq.jpeg?q=70,4.1,"24,032",499,"Black, In the Ear"
